name,Type,Lat,Lon,Elevation
Abu,Shield,34.5,131.6,641
Acamarachi,Stratovolcano,-23.3,-67.62,6046
Acatenango,Stratovolcano,14.5,-90.88,3976
Acigöl-Nevsehir,Caldera,38.57,34.52,1689
Adams,Stratovolcano,46.21,-121.49,3742
Adams Seamount,Submarine,-25.37,-129.27,-39
Adatara,Stratovolcano,37.64,140.29,1718
Adwa,Stratovolcano,10.07,40.84,1733
Afderà,Stratovolcano,13.08,40.85,1295
Agrigan,Stratovolcano,18.77,145.67,965
Agua,Stratovolcano,14.47,-90.74,3760
Agua de Pau,Stratovolcano,37.77,-25.47,947
Aguilera,Stratovolcano,-50.33,-73.75,2546
Agung,Stratovolcano,-8.34,115.51,3142
Ahyi,Submarine,20.42,145.03,-137
Akademia Nauk,Caldera,53.98,159.45,1180
Akagi,Stratovolcano,36.56,139.2,1828
Akan,Caldera,43.38,144.01,1499
Akhtang,Shield,55.43,158.65,1956
Akita Komagatake,Stratovolcano,39.76,140.8,1637
Akita Yakeyama,Stratovolcano,39.96,140.76,1366
Akuseki-jima,Stratovolcano,29.46,129.6,584
Akutan,Stratovolcano,54.13,-165.99,1303
Alaid,Stratovolcano,50.86,155.55,2339
Alamagan,Stratovolcano,17.6,145.83,744
Alayta,Shield,12.88,40.57,1501
Alban Hills,Caldera,41.73,12.7,949
Alcedo,Shield,-0.43,-91.12,1130
Ale Bagu,Stratovolcano,13.52,40.63,1031
Alid,Stratovolcano,14.88,39.92,904
Altiplano-Puna Volcanic Complex,,-22.44,-67.96,4600
Ambrym,Shield,-16.25,168.12,1334
Anatahan,Stratovolcano,16.35,145.67,790
Aneityum,Stratovolcano,-20.2,169.78,852
Aniakchak,Caldera,56.88,-158.17,1341
Antisana,Stratovolcano,-0.48,-78.14,5753
Aoba,Shield,-15.4,167.83,1496
Ararat,Stratovolcano,39.7,44.3,5165
Arenal,Stratovolcano,10.46,-84.7,1670
Arintica,Complex Volcano,-18.73,-69.05,5597
Asacha,Stratovolcano,52.36,157.83,1910
Asama,Complex Volcano,36.4,138.53,2568
Ascensión,Stratovolcano,-7.95,-14.37,858
Askja,Stratovolcano,65.03,-16.75,1516
Aso,Caldera,32.88,131.11,1592
Atitlán,Complex Volcano,14.58,-91.19,3535
Atka,Caldera,52.38,-174.15,1533
Atsonupuri,Stratovolcano,44.81,147.14,1206
Augustine,Dome,59.36,-153.43,1252
Avachinsky,Stratovolcano,53.26,158.83,2741
Awu,Stratovolcano,3.67,125.5,1320
Axial Seamount,Submarine,45.95,-130,-1410
Ayelu,Stratovolcano,10.08,40.7,2145
Azufre,Complex Volcano,-21.79,-68.24,5846
Azuma,Stratovolcano,37.73,140.25,2035
Babuyon Claro,Stratovolcano,19.5,121.9,1180
Bachelor,Stratovolcano,43.8,121.6,2763
Bagana,Cinder Cone,-6.1,155.2,1750
Baker,Stratovolcano,48.79,-121.82,3285
Bam,Stratovolcano,-3.6,144.85,685
Bamus,Stratovolcano,-5.2,151.2,2248
Bandai,Stratovolcano,37.6,140.1,1819
Barren Island,Pyroclastic Cone,12.29,93.88,305
Barrier,Complex Volcano,2.32,36.57,1032
Bazman,Stratovolcano,28,60,3490
Beerenberg,Stratovolcano,71.1,-8.2,2277
Belknap,Shield,44.28,-121.83,2096
Bezymianny,Stratovolcano,55.98,160.58,2882
Biliran,Complex Volcano,11.5,124.5,1187
Bolshoi Semiachik,Stratovolcano,54.32,160.02,1720
Bulusan,Stratovolcano,12.8,124.1,1565
Butajira,Maar,8.05,38.35,2281
Cameroon (Mount),Stratovolcano,4.2,9.17,4095
Camiguin de Babuyanes,Stratovolcano,18.83,121.85,712
Canlaon,Stratovolcano,10.41,123.13,2435
Capulin,Cinder Cone,36.45,-104.09,2494
Carrizozo,Volcanic Field,33.7,-106,1730
Cayambe,Stratovolcano,0.03,-77.99,5790
Cereme,Stratovolcano,-6.9,108.41,3078
Chaine des Puys,Dome,45.78,2.97,1464
Chiginagak,Stratovolcano,57.13,-156.99,2067
Chikurachki,Stratovolcano,50.33,155.46,5958
Chimborazo,Stratovolcano,-1.46,-78.82,6310
Cleveland,Stratovolcano,52.83,-169.95,1730
Coatepeque,Caldera,13.86,-89.54,746
Colima,Stratovolcano,19.51,103.62,4100
Concepción,Stratovolcano,11.5,85.6,1610
Copahue,Stratovolcano,-37.85,-71.17,2965
Cosigüina,Shield,12.98,-87.56,847
Cotopaxi,Stratovolcano,-0.68,-78.44,5911
Crater Lake,Caldera,42.94,-122.11,2471
Craters of the Moon,Volcanic Field,43.42,-113.5,2005
Daisetsu,Stratovolcano,43.7,142.9,2290
Dakataua,Caldera,-5,150.1,400
Damavand,Stratovolcano,35.95,52.11,5670
Dempo,Stratovolcano,-4,103.1,3173
Devils Garden,Volcanic Field,43.5,-120.9,1525
Devils Tower,Plug,44.6,-104.7,1558
Diamond Craters,Volcanic Field,43.1,-118.7,1450
Dieng Volcanic Complex,Complex Volcano,-7.2,109.9,2565
Diky Greben,Dome,51.46,156.98,1331
Dubbi,Stratovolcano,13.6,41.8,1625
Dukono,Complex Volcano,1.7,127.87,1185
East Epi,Caldera,-16.7,168.4,-34
Ebeko,Somma Volcano,50.68,156.02,1156
Egmont (Taranaki),Stratovolcano,-39.3,174.1,2518
Egon,Stratovolcano,-8.7,122.45,788
El Chichon,Caldera,17.36,-93.23,1060
Elbrus,Stratovolcano,43.33,42.45,5633
Erebus,Stratovolcano,-77.5,167.2,3794
Erta Ale,Shield,13.6,40.7,613
Etna,Stratovolcano,37.73,15,3350
Fantale,Stratovolcano,8.98,39.93,2007
Fernandina,Caldera,-0.37,-91.55,1476
Fisher,Stratovolcano,-54.63,-164.42,1095
Fogo,Stratovolcano,14.95,-24.35,2829
Fort Rock,Maar,43.37,-121.07,1716
Frosty Peak,Stratovolcano,55.08,-162.81,1920
Fuego,Stratovolcano,14.47,-90.88,3763
Fuerteventura,Fissure vents,28.36,-14.02,529
Fuji,Stratovolcano,35.36,138.73,3776
Furnas,Stratovolcano,37.76,-25.33,805
Fuss Peak,Stratovolcano,50.27,155.25,1772
Galeras,Stratovolcano,1.22,-77.37,4276
Galunggung,Stratovolcano,-7.26,108.08,2168
Gamalama,Stratovolcano,0.81,127.33,1715
Gamchen,Stratovolcano,54.97,160.68,2576
Gamkonora,Stratovolcano,1.38,127.53,1635
Gareloi,Stratovolcano,51.8,178.8,1573
Gaua,Stratovolcano,-14.27,167.5,797
Gede,,-6.77,106.94,2958
Glacier Peak,Stratovolcano,48.11,-121.11,3213
Gorely,Caldera,52.56,158.03,1829
Graciosa,Stratovolcano,39.02,-27.97,402
Gran Canaria,Fissure vents,28,15.58,1950
Great Sitkin,Stratovolcano,52.07,-176.13,1740
Griggs,Stratovolcano,58.35,-155.09,2317
Grímsvötn,Caldera,64.42,-17.33,1725
Guagua Pichincha,,-0.17,-78.6,4784
Guallatiri,Stratovolcano,-18.42,-69.09,6071
Guguan,Stratovolcano,17.31,145.84,287
Hakone,,35.23,139.02,1439
Heard,Stratovolcano,-53.1,73.5,2745
Hibok-hibok,Stratovolcano,9.2,124.7,1332
Hierro,Shield,27.73,-18.03,1500
Hood,Stratovolcano,45.4,-121.7,3426
Hualalai,Shield,19.69,-155.87,2523
Ibu,Stratovolcano,1.49,127.63,1325
Ijen,Stratovolcano,-8.06,114.24,2386
Iliamna,Stratovolcano,60.03,-153.09,3053
Iliboleng,Stratovolcano,-8.34,123.26,1659
Iliniza,Stratovolcano,-0.66,-78.71,5248
Ilopango,Caldera,13.67,-89.05,450
Ilyinsky,Stratovolcano,51.49,157.2,1578
Ioto (Iwo-jima),Caldera,24.75,141.29,161
Iraya,Stratovolcano,20.47,122.01,1009
Irazu,Stratovolcano,9.98,83.85,3431
Isanotski,Stratovolcano,54.77,-163.72,2446
Izalco,Stratovolcano,13.81,-89.63,1950
Iztaccihuatl,Stratovolcano,19.18,-98.64,5286
Izu-Tobu,Pyroclastic Cone,34.9,139.1,581
Jailolo,Stratovolcano,1.08,127.42,1130
Jefferson,Stratovolcano,44.67,-121.8,3199
Jordan Craters,Volcanic Field,43.1,-117.4,1400
Kadovar,Stratovolcano,-3.63,144.63,365
Kaguyak,Stratovolcano,58.62,-154.06,901
Kahoolawe,Shield,20.55,-156.57,450
Kambalny,Stratovolcano,51.3,156.87,2156
Kanaga,Stratovolcano,51.92,-177.17,1307
Kanlaon,Stratovolcano,10.41,123.13,2435
Karangetang [Api Siau],Stratovolcano,2.78,125.4,1784
Karisimbi,Stratovolcano,-1.51,29.45,4507
Karthala,Shield,-11.75,43.38,2361
Karymsky,Stratovolcano,54.05,159.45,1536
Katla,Fissure vents,63.63,-19.05,1512
Katmai,Stratovolcano,58.28,-154.96,2047
Katwe-Kikorongo,Volcanic Field,-0.08,29.92,1067
Kavachi,Submarine,-9.02,157.95,-20
Kell,Stratovolcano,51.65,157.35,900
Kelut,Stratovolcano,-7.93,112.31,1731
Kerinci,Stratovolcano,1.7,101.26,3800
Khodutka,Stratovolcano,52.06,157.7,2090
Kialagvik,Stratovolcano,57.2,-156.75,1677
Kick 'em Jenny,Submarine,12.3,-61.64,-185
Kikai,Caldera,30.79,130.31,704
Kikhpinych,Stratovolcano,54.49,160.25,1552
Kilauea,Shield,19.42,-155.29,1222
Kilimanjaro,Stratovolcano,3.07,37.35,5895
Kirishima,Stratovolcano,31.93,130.86,1700
Kliuchevskoi,Stratovolcano,56.06,160.64,4835
Komagatake,Stratovolcano,42.06,140.68,1131
Kone,Caldera,8.8,39.69,1619
Koryaksky,Stratovolcano,53.32,158.69,3456
